name,place_of_birth,date_of_birth,date_of_death,place_of_death,nationality
Carlo Ponti,Milaan,1820,1893,Venetië,
Caspar Jacobsz. Philips,Amsterdam,1732-04-16,1789-03-19,Amsterdam,
Caspar Luyken,Amsterdam,1672-12-18,1708-10-04,Amsterdam,
Caspar Netscher,Heidelberg,1639,1684-01-15,Den Haag,
Caspar van Wittel,Amersfoort,1556,1736-09-13,Rome,
Catharina Questiers,Amsterdam,1631-11-26,1669-02-01,Amsterdam,
Catharina van Hemessen,Antwerpen,1528,1580,,
Celestino Degoix,,1825,1902,,
Central Atelier,,,,,
Centro Fotográfico,,,,,
Ch. Binger & Co.,,,,,
Ch. Kusian,,,,,
Ch. Verbeke-Schodts,,1814-11-28,1866-10-19,,
Chaerles de Hooch,Den Haag,1606,1638,Utrecht,
Chambay,,1827,1899,,
Charbonnier,,,,,
Charles Aubry,Parijs,,,,
Charles Billotte & Cie.,Aken,1834,,,
Charles Binger,Amsterdam,1830-02-25,1916-02-14,Haarlem,
Charles Clifford,,1819,1863,,
Charles Dankmeijer,Amsterdam,1861-04-08,1923-03-11,Den Haag,
Charles Dupuis,Parijs,1685,1742-03-03,Parijs,
Charles Emile Jacque,Parijs,1813,1894-05-07,Parijs,
Charles Emmanuel d'Hoy,,,,,
Charles François Hutin,Parijs,1715-07-04,1776-07-29,Dresden,
Charles Gérard,,,,,
Charles Henry Braithwaite,,1816,,,
Charles Howard Hodges,Portsmouth,1764,1837-07-24,Amsterdam,
Charles Janicot,,1825,,,
Charles Knight,,1743,1826,,
Charles Leickert,Brussel,1816-09-22,1907-12-05,Mainz,
Charles Lenormand,,,,,
Charles Louis Chevalier,,,,,
Charles Markt,,,,,
Charles Marville,Parijs,1816-07-18,1879,,
Charles Nègre,Grasse,1820-05-09,1880-01-16,Grasse,
Charles Piazzi Smyth,,,,,
Charles Picqué,Deinze,1799-06-26,1869-03-21,Brussel,
Charles R. Knight,Brooklyn,1874-10-21,1953-04-15,Manhattan,
Charles Reutlinger,Karlsruhe,1816-02-25,1880-04,,
Charles Rochussen,Kralingen,1814-08-01,1894-09-22,Rotterdam,
Charles Roscoe Savage,Southampton,1832-08-16,1909-02-03,Salt Lake City,
Charles Saligo,Geraardsbergen,1804,1874,Sint-Joost-ten-Node,
Charles Segoffin,,,,,
Charles T. Scowen,Middlesex,1852,1948,Sri Lanka,
Charles T. Scowen & Co.,,,,,
Charles Thomas Newcombe,Hoxton,1830-09-18,1912,Croydon,
Charles Thurston Thompson,,1816,1868,,
Charles Verbeke,,,,,
Charles van Beveren,Mechelen,1809-04-06,1850-09-16,Amsterdam,
Charles van Kervel,Semarang,1866-01-12,1915-08-28,Putten,
Charles-François Daubigny,Parijs,1817-02-15,1878-02-19,Parijs,
Charls & Van Es,,,,,
Chenu,,,,,
China Photo Service,,,,,
Chits & Fils,,,,,
Christaan Marcussen,Amsterdam,1822-05-07,1878-11-19,Utrecht,
Christiaan Benjamin Nieuwenhuis,Amsterdam,1863-07-04,1922,,
Christiaan Friedrich Ruppe,Bad Salzungen,1753-08-21,1826-05-25,Leiden,
Christiaan Hagen,Bremen,1635,1707,,
Christiaan Hendrik Adriaan Mirande,,,,,
Christiaan Johan Neeb,West-Sumatra,1860-05-19,1925,,
Christiaan Julius Lodewijk Portman,Amsterdam,1799-10-20,1868-10-18,Beverwijk,
Christiaan Lodewijk Willem Dreibholtz,Utrecht,1799-09-08,1874-03-16,Utrecht,
Christiaan Lodewijk van Kesteren,Amsterdam,1832-08-09,1897-06-25,Amsterdam,
Christiaan Maria Dewald,Den Haag,1868-06-15,1923-02-22,Den Haag,
Christiaan Martinus Jan Hermelink,Den Haag,1840-12-26,1933-03-24,Den Haag,
Christiaan Otto Roelofs,Amsterdam,1882-03-07,1970,Amsterdam,
Christiaan Snouck Hurgronje,Oosterhout,1857-02-08,1936-06-26,Leiden,
Christiaen Jansz. Dusart,Antwerpen,1618-02-25,1683-01-01,Amsterdam,
Christiaen Jansz. van Bieselingen,Delft,1557,1600,Middelburg,
Christiaen van Dielaert,,1640-10-23,1671,Hoorn,
Christian Jakob Schlotterbeck,Böblingen,1757-07-27,1812,Böblingen,
Christian Theodor Kirch,Frankfurt am Main,1883-04-03,1881-10-19,Wiesbaden,
Christoffel,,,,,
Christoffel Bisschop,Leeuwarden,1828,1904-10-05,Scheveningen,
Christoffel Frederik Franck,,1758,1816,,
Christoffel Lubienitzki,Stettin,1659,,Amsterdam,
Christoffel Puytlinck,Roermond,1640-11-11,1682,Roermond,
Claes Jacobsz. van der Heck,Alkmaar,1591,1652-12-19,Alkmaar,
Claes Jansz. Visscher (II),Amsterdam,1586,1652-06-19,Amsterdam,
Claes Moeyaert,Durgerdam,1593,1655-08-26,Amsterdam,
Claes Rokesz,Amsterdam,1629,1681-01-26,,
Claes van Beresteyn,Haarlem,1627,1684-03-05,Haarlem,
Clara Peeters,Antwerpen,1589,1634,,
Clarence Hudson White,West Carlisle,1871-04-08,1925-07-08,Mexico-Stad,
Claude Augustin Duflos,Parijs,1700-05-10,1786-02-27,,
Claude Lorrain,Chamagne,1605,1682-11-23,Rome,
Claude Mellan,Abbeville,1598,1688-03-09,Parijs,
Claude Monet,Parijs,1840-11-14,1926-12-06,Giverny,
Claude René Gabriel Poulleau,Parijs,1749,,,
Claude Vignon,Tours,1593,1670-05-10,Parijs,
Claude de Jongh,Utrecht,1606,1663-03-16,Utrecht,
Claude-Marie Ferrier,Lyon,1811,1889,Parijs,
Claudine Sudre,,,,,
Clovis Claret,Isère,1852-03-25,1907-10-17,Asnières,
Coen Metzelaar,Amsterdam,1845-11-04,1881-07-29,Amsterdam,
Coen Tasman,,1937,,,
Coenraad Cornelis Roskam,,1829-11-24,1892-03-07,,
Coenraad de Putter,Amsterdam,,,,
Coenraet Decker,Amsterdam,1650,1685-03-02,Amsterdam,
Coenraet Roepel,Den Haag,1678-11-06,1748-01-04,Den Haag,
Colin Murray,Schotland,1840-12-25,1884-12-29,Kolkata,
Colnaghi & Co,,,,,
Conrad Kuster,Winterthur,1730,1802,,
Conrad Meyer,Zürich,1618,1689,Zürich,
Conradijn Cunaeus,Dendermonde,1828,1895-09-05,Nieuwer-Amstel,
Constant Alexandre Famin,,1827,1888,,
Constant Peigné,Loire-Atlantique,1834-06-13,1916-03-16,Tours,
Constant Troyon,Sèvres,1810-08-28,1865-03-20,Parijs,
Constantin et Cie,,,,,
Constantinus Fidelio Coene,Vilvoorde,1779,1841-08-20,Brussel,
Cor Jaring,Amsterdam,1936-12-18,2013-11-17,Amsterdam,
Corneille de Lyon,,,1575-11-08,Lyon,
Cornelia toe Boecop,Kampen,1551,1629,,
Cornelia van der Mijn,Amsterdam,1709-10-29,1782,Londen,
Cornelis Albert van Assendelft,Middelburg,1870-05-11,1945-05-22,Amsterdam,
Cornelis Albertus Johannes Schermer,Den Haag,1824-06-12,1915-01-04,Den Haag,
Cornelis Apostool,Amsterdam,1762-08-06,1844-02-10,Amsterdam,
Cornelis Beelt,,1640,1702,,
Cornelis Bellekin,Amsterdam,1625,1711,,
Cornelis Bernardus Broersma,Leeuwarden,1841-08-02,1919-03-09,Leeuwarden,
Cornelis Bisschop,Dordrecht,1630,1674,,
Cornelis Bisschop (1762-1829),Den Haag,1762-12,1829-05,Gelderland,
Cornelis Bloemaert (II),Utrecht,1603,1692-09,Rome,
Cornelis Boel,Antwerpen,1580,,,
Cornelis Bogerts,Velsen,1745,1817-02-03,Amsterdam,
Cornelis Bol,Antwerpen,1589-07-15,1666,Haarlem,
Cornelis Bos,'s-Hertogenbosch,1510,1566,Groningen,
Cornelis Brisé,,,,,
Cornelis Brouwer,,1735,1803-03-31,Amsterdam,
Cornelis Cels,Lier,1778-06-10,1869-03-03,Brussel,
Cornelis Claesz. van Wieringen,Haarlem,1577,1633-12-29,Haarlem,
Cornelis Cornelisz. van Haarlem,Haarlem,1562,1638-11-11,Haarlem,
Cornelis Cort,Edam,1533,1578,Rome,
Cornelis Danckerts,,,,,
Cornelis Dircksz. Boissens,Enkhuizen,1568,1635-09-26,Leiden,
Cornelis Droochsloot,Utrecht,1630-02-21,1673,,
Cornelis Dusart,Haarlem,1660-04-24,1704-10-01,Haarlem,
Cornelis Elandts,Den Haag,1641,1687-03-03,Den Haag,
Cornelis Engebrechtsz,Leiden,1462,1527,Leiden,
Cornelis Engelsz.,Gouda,1574,1650,Haarlem,
Cornelis François Roos,Amsterdam,1802-09-15,1884-07-18,Amsterdam,
Cornelis Galle (I),Antwerpen,1576,1650-03-29,Antwerpen,
Cornelis Galle (II),Antwerpen,1615,1678-10-18,Antwerpen,
Cornelis Gerritsz Decker,,1620,1678-03-23,Haarlem,
Cornelis Jacob de Huyser,,,,,
Cornelis Jacobsz. Delff,Gouda,1571,1643,Delft,
Cornelis Jacobsz. Drebbel,Alkmaar,1572,1633,Londen,
Cornelis Janssens van Ceulen (II),Londen,1634-08-15,1730-03-11,Utrecht,
Cornelis Johannes Lodewicus Vermeulen,Utrecht,1861-11-18,1936-01-05,Hilversum,
Cornelis Jonson van Ceulen (I),Londen,1593-10-14,1661-08-05,Utrecht,
Cornelis Ketel,Gouda,1548-03-18,1616-08-08,Amsterdam,
Cornelis Kruseman,Amsterdam,1797-09-25,1857-11-14,Lisse,
Cornelis Lelienbergh,,1630,1696,,
Cornelis Lieste,Haarlem,1817,1861-07-24,Haarlem,
Cornelis Martinus Vermeulen,Antwerpen,1644,1709,Antwerpen,
Cornelis Massijs,Antwerpen,1511,1557,,
Cornelis Pietersz. Bega,Haarlem,1632,1664-08-27,Haarlem,
Cornelis Ploos van Amstel,Weesp,1726-01-04,1798-12-20,Amsterdam,
Cornelis Pronk,Amsterdam,1691-12-10,1759-09-29,Amsterdam,
Cornelis Saftleven,Gorinchem,1607,1681,Rotterdam,
Cornelis Springer,Amsterdam,1817-05-25,1891-02-20,Hilversum,
Cornelis Troost,Amsterdam,1696-10-08,1750-03-07,Amsterdam,
Cornelis Udemans,Bergen op Zoom,1598,1682,,
Cornelis Wever,Amsterdam,1748-07-14,,,
Cornelis de Beet,,,,,
Cornelis de Bie,,1627-02-10,1715,,
Cornelis de Bruyn,Den Haag,1652,1727,Utrecht,
Cornelis de Cocq,Monster,1815-06-18,1889-09-26,Den Haag,
Cornelis de Man,Delft,1621-07-01,1706,Delft,
Cornelis de Zeeuw,,,,,
Cornelis van Caukercken,Antwerpen,1626,1680,Brugge,
Cornelis van Cuylenburgh (II),Utrecht,1758,1827-09-22,Den Haag,
Cornelis van Dalem,Antwerpen,1538,1576,Antwerpen,
Cornelis van Dalen,,,,,
Cornelis van Dalen (I),,1602,1665-04-07,Amsterdam,
Cornelis van Dalen (II),Amsterdam,1638-12-28,1664-10-09,,
Cornelis van Kittensteyn,Delft,1600,1663,,
Cornelis van Noorde,Haarlem,1731-03-12,1795-10-16,Haarlem,
Cornelis van Poelenburch,Utrecht,1595,1667-08-12,Utrecht,
Cornelis van Zwieten,,1626,1673,Leiden,
Cornelis van der Voort,Antwerpen,1576,1624-11-02,Amsterdam,
Cosimo Rosselli,Florence,1439,1507-01-07,Florence,
Crispijn van de Passe,,,,,
Crispijn van de Passe (I),Arnemuiden,1564,1637,Utrecht,
Crispijn van de Passe (II),Keulen,1597,1670-01-06,Amsterdam,
Crispijn van den Broeck,Mechelen,1524,1591,Antwerpen,
Crispijn van den Queborn,Den Haag,1604,1652-11-25,Den Haag,
César Mitkiewicz,Warschau,1836-08-05,1871-12-12,Ieper,
D. Fraenkel & Zoon,,,,,
D. Pigeaud,Schiedam,1849-11-12,1886-05-15,Schiedam,
D.F. Millet,,,,,
D.H. Racine,,,,,
Dagron et Cie.,,,,,
Dancker Danckerts,,1633,1666-12-08,,
Daniel Bongaert,Amsterdam,1671,1740,Amsterdam,
Daniel Boone,,,,,
Daniel Fruwirth,,1829,,,
Daniel Vertangen,Amsterdam,1601-01-04,1684,Amsterdam,
Daniel de Lafeuille,Sedan,1640,1709-07-01,Amsterdam,
Daniël Dupré,Amsterdam,1751-12-20,1817-06-04,Amsterdam,
Daniël Haringh,Den Haag,1636,1713,Den Haag,
Daniël Marot (I),Parijs,1663,1752-06-04,Den Haag,
Daniël Mijtens (II),Den Haag,1644-08-07,1688-09-23,Den Haag,
Daniël Stopendaal,Amsterdam,1672-05-15,1726-09-19,,
Daniël Thivart,Amsterdam,1611,1656,,
Daniël Veelwaard (I),Amsterdam,1766-08-14,1851-02-28,Amsterdam,
Daniël Veelwaard (II),Amsterdam,1796-12-15,1868-11-09,Amsterdam,
Daniël de Blieck,Middelburg,1612,1673-03-06,Middelburg,
Daveluy & Fils,,,,,
David Adolph Constant Artz,Den Haag,1837,1890-11-08,Den Haag,
David Bailly,Leiden,1584,1657,Leiden,
David Bles,Den Haag,1821-09-19,1899-09-03,Den Haag,
David Chapman Latham,Ardwick,1844-05-26,1922-08-05,Buxton,
David Colijns,Rotterdam,1582,1666-03,Amsterdam,
David Davidsz de Heem,,,,,
David Ehrenstrahl,Hamburg,1629-09-23,1698-10-23,Stockholm,
David Pièrre Giottino Humbert de Superville,Den Haag,1770-07-18,1849-01-09,Leiden,
David Ryckaert (III),Antwerpen,1612,1661-11-11,Antwerpen,
David Teniers (II),Antwerpen,1610,1690-04-25,Brussel,
David Vinckboons (I),Mechelen,1576-08-13,1629,Amsterdam,
David van der Kellen (1804-1879),Amsterdam,1804-09-25,1879-03-30,Utrecht,
David van der Plas,Amsterdam,1647-12-11,1704-05-18,Amsterdam,
David von Krafft,Hamburg,1655,1724-09-20,Stockholm,
De Lavieter & Co.,,,,,
De la Tramblais,,,,,
Defendente Ferrari,Chivasso,1585,1540-11-12,,
Delboy & Baer,,,,,
Denis Auguste Marie Raffet,Parijs,1804,1860-02-16,Genua,
Denis Boutemie,,,,,
Derk Jan Boom,Almelo,1853-11-14,1935-11-16,Almelo,
Deutmann & Zonen,,,,,
Diederik Franciscus Jamin,Amsterdam,1838-01-23,1865-01-06,Amsterdam,
Diego Erti,,,,,
Dimitrios Constantin,,,,,
Dionys van Nijmegen,Rotterdam,1705-04-07,1798-08-28,Rotterdam,
Dirck Barendsz.,Amsterdam,1534,1592-05-26,Amsterdam,
Dirck Bleker,,1622,1702,,
Dirck Craey,Amsterdam,1610,1666,,
Dirck Dalens (I),Dordrecht,1600,1676,Zierikzee,
Dirck Dircksz. van Santvoort,Amsterdam,1610,1680-03-09,Amsterdam,
Dirck Hals,Haarlem,1591-03-19,1656-05-17,,
Dirck Helmbreeker,Haarlem,1633,1696-07,Rome,
Dirck Verhaert,Haarlem,1615,1685,Leiden,
Dirck Volckertsz. Coornhert,Amsterdam,1522,1590-10-29,Gouda,
Dirck Wijntrack,Heusden,1625,1678,Den Haag,
Dirck van Baburen,Wijk bij Duurstede,1595,1624-02-21,Utrecht,
Dirck van Bergen,Haarlem,1645,1690,Haarlem,
Dirck van Delen,Heusden,1605,1671-05-16,Arnemuiden,
Dirk Druyf,Leiden,1620,1659,,
Dirk Engel (fotograaf),Zaandam,1829-05-12,1888-08-04,Zaandam,
Dirk Jan van der Laan,Zwolle,1759-04-16,1829-02-26,Zwolle,
Dirk Jurriaan Sluyter,Amsterdam,1811-11-14,1886-05-29,Amsterdam,
Dirk Maas,Haarlem,1659-09-12,1717-12-25,Haarlem,
Dirk Niekerk,Amsterdam,1824-02-15,1881-05-21,Amsterdam,
Dirk Pander,Leiden,1877-03-06,1941-04-18,Leiden,
Dirk Stoop,Utrecht,1621,1686,Utrecht,
Dirk Valkenburg,Amsterdam,1675-02-17,1721-02-01,Amsterdam,
Dirk van Hoogstraten,Antwerpen,1596,1640-12-20,Dordrecht,
Dirk van Lokhorst (fotograaf),,,,,
Dirk van Oosterhoudt,Tiel,1756-02,1830-01-14,Tiel,
Dirk van der Toorn,,1778,1811-10-28,Den Haag,
Disdéri & Co.,,,,,
Domenico Anderson,Rome,1854,1939,Rome,
Domenico Cunego,Verona,1726,1803-01-08,Rome,
Domenico Maggiotto,Venetië,1713,1793,Venetië,
Domenicus van Tol,Bodegraven,1645,1676-12-26,Leiden,
Dougherty & Cope,,,,,
Douwe Juwes de Dowe,Leeuwarden,1608,1663,Leeuwarden,
Downes & Co. Cundall,,,,,
Duccio di Buoninsigna,,1255,1319,,
Dupont,,,,,
Durand-Brager & Lassimonne,,,,,
E. Andrews,,,,,
E. Baron,,,,,
E. Barracan,,,,,
E. Burton,,,,,
E. Chesnay,,,,,
E. Cornelisse,,,,,
E. Defonds-Bousseton et Cie.,,,,,
E. Fixon,,,,,
E. Harrison,,,,,
E. Lothrop,,,,,
E. Marchandise,,,,,
E. Olsen,,,,,
E. Ressius,,,,,
E. Savioz,,,,,
E. v.d. Kerkhoff,Krefeld,1861-09-19,1943-09-23,Rotterdam,
E.R. Gard,,,,,
Eadweard Muybridge,,1830,1904,,
Eberhard Cornelis Rahms,Rotterdam,1823-09-14,1907-08-30,Oudewater,
Ed. Gutbier,,,,,
Ed. Radermacher,Düsseldorf,1839-07-16,1908-12-05,Rotterdam,
Eddy Wessels,,,,,
Edizione Brogi,,,,,
Edmond Bacot,Caen,1814-07-25,1875-04-26,Caen,
Edmond Fierlants,,,,,
Edmondo Behles,Stuttgart,1841-07-21,1921-11-21,Rome,
Edouard Amédée Carette,,,,,
Edouard Delvaux,Brussel,1806-02-06,1862-09-25,Spa,
Edouard Fabronius,Brugge,1847-11-12,,,
Edouard Potterat,,,1904,Montreux,
Edouard Renoz,Parijs,1830,1862-06-21,Gent,
Edouard Taurel,Parijs,1824-03-25,1892-11-07,Amsterdam,
Edouard van der Elst,,1831,,,
Edouard-Alexis Daveluy,Gent,1812-05-31,1894-09-30,Antwerpen,
Eduard Alexander Hilverdink,Amsterdam,1846-05-12,1891-10-12,Amsterdam,
Eduard François Georges,Amsterdam,1817-03-14,1895-09-12,Utrecht,
Eduard Fuchs,Hilscheid,1832-06-30,,,
Eduard Isaac Asser,Amsterdam,1809-10-19,1894-09-21,Amsterdam,
Eduard Karl Gustav Lebrecht Pistorius,Berlijn,1796-02-28,1862-08-20,Karlsbad (Duitsland),
Eduard Karsen,Amsterdam,1860-03-10,1941-10-31,Amsterdam,
Edwaert Collier,,,,,
Edward Davis,,,,,
Edwin Fehrenbach,Barnstaple,1848,1888,Tavistock,
Edwin Hale Lincoln,Westminster,1848,1938,Pittsfield,
Eelke Jelles Eelkema,,,,,
Egbert Lievensz. van der Poel,Delft,1621-03-09,1664-07-19,Rotterdam,
Egbert Rubertus Derk Schaap,Nigtevecht,1862-07-04,1939-05-24,Ankeveen,
Egbert van Drielst,,1745-03-12,1818-06-04,Amsterdam,
Egbert van Heemskerck (I),Haarlem,1635,1704,Londen,
Egide Linnig,Antwerpen,1844-03-19,1908-01-08,Antwerpen,
Egidius Rucholle,,,,,
Eglon van der Neer,Amsterdam,1634,1703-05-03,Düsseldorf,
El Greco,Kreta,1540,1614-04-07,Toledo,
Elias Spanier,Paderborn,1821-03-03,1863-04-27,Den Haag,
Elias Vonck,Amsterdam,1605,1652-06-10,Amsterdam,
Elias van Nijmegen,Nijmegen,1667,1755-01-24,Rotterdam,
Elias van den Bossche,,,,,
Elias van den Broeck,,,,,
Elisabeth Barbara Schmetterling,Amsterdam,1804-11-30,1882-11-12,Amsterdam,
Elisabeth Geertruida Wassenbergh,Groningen,1729-05-29,1781-10-15,Groningen,
Elisabeth Iosetta Hoopstad,Rio Demerary,1787-09-19,1847-08-27,Marseille,
Elisabeth Marie Simons,Brussel,1750,1834,Brussel,
Elkan Sanders jr.,Groningen,1848-08-30,1932-02-24,Amsterdam,
Elliott & Fry,,,,,
Emanuel Lorjé,Rotterdam,1845,1875,Amsterdam,
Emanuel Murant,Amsterdam,1622-12-22,1700,Leeuwarden,
Emanuel de Witte,Alkmaar,1617,1692,Amsterdam,
Emil Tappe,,,,,
Emil Thiedemann,,1858,1897,,
Emile Pecarrère,,1816,1904,,
Emile Sohl,,,,,
Emile Tourtin,,,,,
Emilio Beauchy,Sevilla,1847,1928,Sevilla,
Emma Kirchner,,,,,
Engel Hoogerheyden,Middelburg,1740-10-13,1809,Middelburg,
Engel Sam,Rotterdam,1699-06-15,1769-03-04,Amsterdam,
Engelsch Photographisch Etablissement,,,,,
Enrico van Lint,,1829,1884,Pisa,
Erasmus Quellinus (II),Antwerpen,1607-11-19,1678-11-07,Antwerpen,
Erhard Reuwich,Utrecht,1445,1505,Mainz,
Erik Andriesse,Bussum,1957-06-17,1993-03-23,Amsterdam,
Ernest Alfred Hardouin,Versailles,1820-01-23,1853-09-21,Batavia,
Ernest Eléonor Pierre Lamy,Triel-sur-Seine,1828-12-09,1900-07-05,Courbevoie,
Ernest Ladrey,Nièvre,1830,1889,Théâtre des Folies-Marigny,
Ernst Maximilian Büttinghausen,Amsterdam,1883-06-08,1929-01-29,Amsterdam,
Ernst Ulbrich,,,,,
Ernst Willem Jan Bagelaar,Eindhoven,1775-09-16,1837-02-08,Son,
Erve H. Rynders,,,,,
Erven Hendrik van der Putte,,,,,
Erven de Weduwe Jacobus van Egmont,,,,,
Erwin Blumenfeld,Berlijn,1897-01-26,1969-07-04,Rome,
Erwin Hanfstaengl,Dresden,1837,1905-01-14,München,
Esaias Boursse,Amsterdam,1631,1672,,
Esaias van de Velde,Amsterdam,1587-05-17,1630-11-18,Den Haag,
Etha Fles,Utrecht,1857-05-01,1948-01-31,Bergen,
Etienne Bosch,Amsterdam,1863,1933-06-10,Den Haag,
Etienne Carjat,Fareins,1828-04-01,1906-03-09,Parijs,
Etienne Claude Voysard,Parijs,1746,1812,Parijs,
Eugen Klein,Mannheim,1869-08-22,1927-10-02,Paramaribo,
Eugenio Interguglielmi & Co.,,,,,
Eugène  Jean Joseph Groeneveld,Woerden,1866-03-19,1940-04-15,Woerden,
Eugène Appert,Châteauroux,1831-09-10,1891,,
Eugène Atget,Frankrijk,1857-02-12,1927-08-04,Parijs,
Eugène Degand,Lille,1829-10-07,1911-10-08,Nice,
Eugène Delacroix,Charenton-Saint-Maurice,1798,1863-08-13,Parijs,
Eugène Desplanques,Parijs,1819,1865-09-17,Toulon,
Eugène Fontaine,,,,,
Eugène François de Block,Geraardsbergen,1812-05-14,1893-01-23,Antwerpen,
Eugène Fromentin-Dupeux,,1820,1876,,
Eugène Hallier,,,,,
Eugène Jacquet,,,,,
Eugène Modeste Edmond Lepoittevin,Parijs,1806-07-31,1870-08-06,Auteuil,
Eugène Piot,Parijs,1812,1890,Parijs,
Eugène Vaillat,,,,,
Eugène Verboeckhoven,Warneton,1798-06-09,1881-01-19,Schaarbeek,
Eva Watson-Schütze,Jersey City,1867-09-16,1935-05-20,Chicago,
Evert Maaskamp,Vollenhove,1769-09-27,1834-01-31,Amsterdam,
Experiens Sillemans,Amsterdam,1611,1653-04-08,Amsterdam,
F. & L. Renard Peeters,,,,,
F. Auctor,,,,,
F. Dussap & Cie,,,,,
F. Fescourt,,,,,
F. Jansen,,,,,
F. Kaijser (I),,,,,
F. Meeus-Verbeke,,1845,1906,Leuven,
F. Rau-van Acker,,,,,
F. Sonnin,,,,,
F. Steiner,,,,,
F. Taupel,,,,,
F. W. Busch en Comp.,,,,,
F.D. van Rosmalen & Co,,,,,
F.J. Engelmann,,,,,
Fabio Ventura,,,,,
Falkeisen,,,,,
Farren,,,,,
Felice Beato,Venetië,1834,1909-01-29,,
Felice Crespi,,1838,1911,,
Felix Meyer,Winterthur,1653-02,1713-06-11,Ossingen,
Felix Polonzani,,,,,
Ferdinand (fotograaf),,,,,
Ferdinand Bol,Dordrecht,1616-06,1680-07-24,Amsterdam,
Ferdinand Brauer,,,1915-09-27,Augsburg,
Ferdinand Carl Sierich,Den Haag,1839-03-12,1905-10-19,Den Haag,
Ferdinand Carlier,Versailles,1829-08-09,1892-09-01,Parijs,
Ferdinand De Braekeleer (I),Antwerpen,1792-12-12,1883-05-16,Antwerpen,
Ferdinand Hart Nibbrig,Amsterdam,1866-04-05,1915-10-12,Laren,
Ferdinand Harten,,,,,
Ferdinand Mulnier,Nantes,1817-02-18,1891-07-17,Parijs,
Ferdinand Robert Ebner,Düsseldorf,1873-12-15,1919-03-21,Den Haag,
Ferdinand Ruscheweyh,Neustrelitz,1785,1846-12-21,Neustrelitz,
Ferdinand Schmutzer,Wenen,1870-05-21,1928-10-26,Wenen,
Fernand Khnopff,Termonde,1858-09-12,1921-11-12,Brussel,
Fernando Dessaur,Amsterdam,1840,,,
Ferret,,,,,
Ferrier Père-Fils et Soulier,,,,,
Fierlants,,,,,
Filippino Lippi,Prato,1457,1504-04-18,Florence,
Filippo da Verona,,,,,
Florentin Charnaux,,1832,1883,,
Florian Grospietsch,Protzan,1789,1830,Berlijn,
Floris Balthasarsz. van Berckenrode,Delft,1562,1616-12-10,Delft,
Floris Claesz. van Dijck,,1575,1651-11,Haarlem,
Floris Verster,Leiden,1861-06-09,1927-01-21,Leiden,
Floris van Schooten,,1588,1656-11-14,Haarlem,
Fotobureau Holland,,,,,
Fotografia dell'Emilia,,,,,
Fotografie Excelsior,,,,,
Fra Angelico,Vicchio,1400,1455-03-18,Rome,
Francesco Bonsignori,Verona,1455,1519-07-02,Caldiero,
Francesco Botticini,,,,,
Francesco Cozza,Stilo,1605,1682-01-11,Rome,
Francesco Fieravino (genaamd Il Maltese),,,,,
Francesco Guardi,Venetië,1712-10-05,1792-01-01,Venetië,
Francesco II Bassano,Bassano del Grappa,1549-01-26,1592-07-04,Venetië,
Francesco Londonio,Milaan,1723,1783-12-26,Milaan,
Francesco Montelatici,Florence,1607-11-19,1661-12-11,Innsbruck,
Francesco Montemezzano,Florence,1540,1602,Venetië,
Francesco Napoletano,,,,,
Francesco Rosaspina,Monte Scùdolo,1762-01-02,1841-09-02,Bologna,
Francesco Solimena,Canale di Serino,1657-10-04,1747-04-05,Barra,
Francesco Squarcione,Padua,1395,1468,Padua,
Francesco Torbido,Venetië,1482,1562-10,Verona,
Francesco Traballesi,Florence,1544,1588-04-21,Mantua,
Francesco Trevisani,Capodistria,1656-04,1746-07-30,Rome,
Francesco Zaganelli di Bosio,Cotignola,1480,1531,Ravenna,
Francesco Zugno,Venetië,1709,1787,Venetië,
Francis Bedford,Camberwell,1816,1894-05-15,Islington,
Francis Edmond Currey,,1814,1896,,
Francis Frith,Chesterfield,1822-10-07,1898-02-25,Cannes,
Francis Frith & Co.,,,,,
Francis Godolphin Osbourne Stuart,Aberdeenshire,1843,1923,,
Francis Seymour-Haden (Sir),Londen,1818-09-16,1910-06-01,Woodcote Manor,
Francisco Rocchini,,1822,1895,,
Francisco de Goya,Fuentedetodos,1746-03-30,1828-04-16,Bordeaux,
Franciscus Josephus Fricot,,,,,
Franciscus Sansom,Londen,,1788,,
Franciscus Schluymer,,,,,
Frank Mason Good,,,,,
Frank van der Salm,Delft,1964-11-05,,,
Frans Decker,Haarlem,1684-03-04,1751-11-28,Haarlem,
Frans Francken (II),Antwerpen,1581-05-05,1642-05-06,Antwerpen,
Frans Hals,Antwerpen,1583,1666-08-26,Haarlem,
Frans Helfferich,Den Haag,1871-02-09,1941-06-11,Den Haag,
Frans Hogenberg,Mechelen,1540,1590,Keulen,
Frans Huys,,1522,1562,,
Frans Jansz Post,Haarlem,1612,1680-02-16,Haarlem,
Frans Menton,Haarlem,1550,1615-03-24,Alkmaar,
Frans Pourbus (I),Brugge,1545,1581-09-19,Antwerpen,
Frans Pourbus (II),Antwerpen,1569-12-21,,Parijs,
Frans Sant-Acker,,,,,
Frans Smissaert,Den Haag,1862,1944-12-16,Den Haag,
Frans Snijders,Antwerpen,1579-11-11,1657-08-19,Antwerpen,
Frans de Bakker,,,,,
Frans de Hulst,Haarlem,1610,1661-12-29,Haarlem,
Frans van Mieris (I),Leiden,1635-04-16,1681-03-12,Leiden,
